Frame Rate:,23.9760246510
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1973,00:01:22.291,18.355541087962962,22.14374457465278,11.13015407986111,21.792724609375
1974,00:01:22.332,21.87641963252315,25.891764322916668,13.70290798611111,26.034586588541668
1975,00:01:22.374,21.021846064814813,22.74001736111111,14.583360460069445,25.74216037326389
1976,00:01:22.416,20.925121166087965,24.442789713541668,15.347005208333334,22.98556857638889
1977,00:01:22.457,19.757658781828706,23.28887261284722,14.729383680555555,21.254720052083332
1978,00:01:22.499,20.16168438946759,25.563395182291668,15.34421115451389,19.57744683159722
1979,00:01:22.541,16.381908275462962,19.75341796875,14.197021484375,15.19528537326389
1980,00:01:22.582,15.610749421296296,17.513020833333332,14.002332899305555,15.31689453125
1981,00:01:22.624,12.189236111111112,15.115397135416666,10.617024739583334,10.835286458333334
1982,00:01:22.666,9.660246672453704,12.403645833333334,6.933512369791667,9.64358181423611
1983,00:01:22.708,9.990659360532407,13.168646918402779,6.893853081597222,9.909478081597221
1984,00:01:22.749,8.929560908564815,10.719102647569445,6.363633897569445,9.705946180555555
1985,00:01:22.791,9.943214699074074,11.667833116319445,7.101101345486111,11.060709635416666
1986,00:01:22.833,9.586905020254628,11.079833984375,6.987657335069445,10.693223741319445
1987,00:01:22.874,9.994032118055555,11.756754557291666,7.413465711805555,10.811876085069445
1988,00:01:22.916,9.16454173900463,10.234971788194445,7.282633463541667,9.976019965277779
1989,00:01:22.958,9.47312644675926,10.762776692708334,7.385009765625,10.271592881944445
1990,00:01:23.000,8.359293619791666,9.158827039930555,7.00244140625,8.916612413194445
1991,00:01:23.041,8.621907552083332,9.676920572916666,6.796657986111111,9.392144097222221
1992,00:01:23.083,6.8497178819444455,7.348090277777778,5.654703776041667,7.546359592013889
1993,00:01:23.125,6.694381148726851,7.666585286458333,5.474880642361111,6.941677517361111
1994,00:01:23.166,8.140444155092593,9.274712456597221,6.505045572916667,8.64157443576389
1995,00:01:23.208,7.892650462962963,8.38400607638889,6.952067057291667,8.341878255208334
1996,00:01:23.250,8.751410590277777,9.189995659722221,7.946940104166667,9.117296006944445
1997,00:01:23.292,7.878598813657407,8.959662543402779,6.775200737847222,7.900933159722222
1998,00:01:23.333,7.001745153356481,7.3447265625,6.401611328125,7.258897569444445
1999,00:01:23.375,7.082230179398148,7.502278645833333,6.6328125,7.111599392361111
2000,00:01:23.417,5.196876808449074,5.603162977430555,4.702745225694445,5.284722222222222
2001,00:01:23.458,69.12101236979167,76.86835394965277,56.767116970486114,73.72756618923611
2002,00:01:23.500,14.59006980613426,11.612467447916666,11.706624348958334,20.45111762152778
